,datetime,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,dynamics_profile_amplitude,dynamics_profile_start_frequency,dynamics_profile_stop_frequency,dynamics_profile_start_window,dynamics_profile_stop_window,dynamics_profile_sweep_duration,iv_sweep_mask_cell_string_,iv_sweep_steps,iv_sweep_min_current,iv_sweep_max_current,iv_sweep_duty_cycle,camera_1_on_off,camera_2_on_off,camera_3_on_off,camera_4_on_off,word_22_spare,video_output_camera_no,dynamics_profile_amplitude_start,dynamics_profile_amplitude_stop,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,word_31_spare,current_telemetry_format
0,09/27/2016 01:54:25.9417,402,1,0,51,48,0,0,0,1,1029,3,1,49,1625086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,52162,52162,52162,52162,52162,52162,0
1,09/27/2016 01:54:25.9507,402,1,0,51,48,0,0,0,1,1029,3,1,49,1625086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,52162,52162,52162,52162,52162,52162,0
2,09/27/2016 01:54:25.9597,402,1,0,51,48,0,0,0,1,1029,3,1,49,1625086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,52162,52162,52162,52162,52162,52162,0
3,09/27/2016 01:54:27.0518,402,1,0,51,48,0,0,0,1,1029,3,2,49,1626086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,53162,53162,53162,53162,53162,53162,0
4,09/27/2016 01:54:27.9429,402,1,0,51,48,0,0,0,1,1029,3,3,49,1627086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,54162,54162,54162,54162,54162,54162,0
5,09/27/2016 01:54:29.0420,402,1,0,51,48,0,0,0,1,1029,3,4,49,1628086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,55162,55162,55162,55162,55162,55162,0
6,09/27/2016 01:54:29.0520,402,1,0,51,48,0,0,0,1,1029,3,4,49,1628086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,55162,55162,55162,55162,55162,55162,0
7,09/27/2016 01:54:29.9521,402,1,0,51,48,0,0,0,1,1029,3,5,49,1629086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,56162,56162,56162,56162,56162,56162,0
8,09/27/2016 01:54:31.0512,402,1,0,51,48,0,0,0,1,1029,3,6,49,1630086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,57162,57162,57162,57162,57162,57162,0
9,09/27/2016 01:54:31.0612,402,1,0,51,48,0,0,0,1,1029,3,6,49,1630086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,57162,57162,57162,57162,57162,57162,0
10,09/27/2016 01:54:31.9533,402,1,0,51,48,0,0,0,1,1029,3,7,49,1631086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,58162,58162,58162,58162,58162,58162,0
11,09/27/2016 01:54:33.0514,402,1,0,51,48,0,0,0,1,1029,3,8,49,1632086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,59162,59162,59162,59162,59162,59162,0
12,09/27/2016 01:54:33.9425,402,1,0,51,48,0,0,0,1,1029,3,9,49,1633086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,60162,60162,60162,60162,60162,60162,0
13,09/27/2016 01:54:33.9525,402,1,0,51,48,0,0,0,1,1029,3,9,49,1633086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,60162,60162,60162,60162,60162,60162,0
14,09/27/2016 01:54:35.0416,402,1,0,51,48,0,0,0,1,1029,3,10,49,1634086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,61162,61162,61162,61162,61162,61162,0
15,09/27/2016 01:54:35.0516,402,1,0,51,48,0,0,0,1,1029,3,10,49,1634086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,61162,61162,61162,61162,61162,61162,0
16,09/27/2016 01:54:35.9597,402,1,0,51,48,0,0,0,1,1029,3,11,49,1635086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,62162,62162,62162,62162,62162,62162,0
17,09/27/2016 01:54:37.0518,402,1,0,51,48,0,0,0,1,1029,3,12,49,1636086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,63162,63162,63162,63162,63162,63162,0
18,09/27/2016 01:54:37.0618,402,1,0,51,48,0,0,0,1,1029,3,12,49,1636086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,63162,63162,63162,63162,63162,63162,0
19,09/27/2016 01:54:37.9539,402,1,0,51,48,0,0,0,1,1029,3,13,49,1637086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,64162,64162,64162,64162,64162,64162,0
20,09/27/2016 01:54:37.9639,402,1,0,51,48,0,0,0,1,1029,3,13,49,1637086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,64162,64162,64162,64162,64162,64162,0
21,09/27/2016 01:54:39.0560,402,1,0,51,48,0,0,0,1,1029,3,14,49,1638086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,65162,65162,65162,65162,65162,65162,0
22,09/27/2016 01:54:39.9411,402,1,0,51,48,0,0,0,1,1029,3,15,49,1639086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,626,626,626,626,626,626,0
23,09/27/2016 01:54:41.0322,402,1,0,51,48,0,0,0,1,1029,3,16,49,1640086,0,0,0,0.0,2.0,0.5,5.0,60.0,0,256,0.0,0.60009765625,60.0,0,0,0,0,0,0,800,800,1626,1626,1626,1626,1626,1626,0
