,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,command_count,last_command_mss_coarse_time,last_command_mss_fine_time,word__spare,last_command_opcode,last_command_parameter_1,last_command_parameter_2,last_command_parameter_3,last_command_parameter_4,last_command_parameter_5,last_command_parameter_6,word_23_spare,word_24_spare,word_25_spare,word_26_spare,word_27_spare,word_28_spare,word_29_spare,word_30_spare,command_response_high_word,command_response_low_word
0,03/06/2017 01:24:02.0558,,402,17,0,57,59,0,0,0,1,1025,3,48,49,8779165,0,0,48.0,1172863435.0,204.0,105.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,03/06/2017 01:24:02.0658,[1553   ] EPC_1553_FORMAT val=1,402,17,0,57,59,0,0,0,1,1026,3,743,49,8779080,0,0,,,,,,,,,,,,,,,,,,,,,
2,03/06/2017 01:24:02.0748,[0000216] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,744,49,8779081,0,0,,,,,,,,,,,,,,,,,,,,,
3,03/06/2017 01:24:35.1691,,402,17,0,57,59,0,0,0,1,1025,3,49,49,8812467,0,0,49.0,1172863469.0,18.0,105.0,8.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
4,03/06/2017 01:24:35.1791,,402,17,0,57,59,0,0,0,1,1025,3,49,49,8812467,0,0,49.0,1172863469.0,18.0,105.0,8.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
5,03/06/2017 01:24:35.1891,[1553   ] SEQ_RUN seq=150,402,17,0,57,59,0,0,0,1,1026,3,745,49,8812381,0,0,,,,,,,,,,,,,,,,,,,,,
6,03/06/2017 01:24:36.0001,TaskRun   seqTask_150 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,746,49,8812383,0,0,,,,,,,,,,,,,,,,,,,,,
7,03/06/2017 01:24:36.0092,[0000217] cmd:success [0x00000096],402,17,0,57,59,0,0,0,1,1026,3,747,49,8812383,0,0,,,,,,,,,,,,,,,,,,,,,
8,03/06/2017 01:24:36.0192,[150:000] IVB_CAMERA_ON ivb=1 cam=1,402,17,0,57,59,0,0,0,1,1026,3,748,49,8812387,0,0,,,,,,,,,,,,,,,,,,,,,
9,03/06/2017 01:24:36.0282,[0000218] cmd:success [0x00000028],402,17,0,57,59,0,0,0,1,1026,3,749,49,8812391,0,0,,,,,,,,,,,,,,,,,,,,,
10,03/06/2017 01:24:36.0372,[150:001] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,750,49,8812392,0,0,,,,,,,,,,,,,,,,,,,,,
11,03/06/2017 01:24:36.0462,[150:002] IVB_CAMERA_ON ivb=1 cam=2,402,17,0,57,59,0,0,0,1,1026,3,751,49,8812892,0,0,,,,,,,,,,,,,,,,,,,,,
12,03/06/2017 01:24:36.0582,[0000219] cmd:success [0x0000002c],402,17,0,57,59,0,0,0,1,1026,3,752,49,8812896,0,0,,,,,,,,,,,,,,,,,,,,,
13,03/06/2017 01:24:36.0672,[150:003] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,753,49,8812896,0,0,,,,,,,,,,,,,,,,,,,,,
14,03/06/2017 01:24:36.0762,[150:004] IVB_CAMERA_ON ivb=1 cam=3,402,17,0,57,59,0,0,0,1,1026,3,754,49,8813397,0,0,,,,,,,,,,,,,,,,,,,,,
15,03/06/2017 01:24:36.0862,[150:004] IVB_CAMERA_ON ivb=1 cam=3,402,17,0,57,59,0,0,0,1,1026,3,754,49,8813397,0,0,,,,,,,,,,,,,,,,,,,,,
16,03/06/2017 01:24:36.8992,[0000220] cmd:success [0x0000002e],402,17,0,57,59,0,0,0,1,1026,3,755,49,8813401,0,0,,,,,,,,,,,,,,,,,,,,,
17,03/06/2017 01:24:36.9092,[150:005] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,756,49,8813402,0,0,,,,,,,,,,,,,,,,,,,,,
