,datetime,ascii_data,mss_payload_id,mss_payload_mode,mss_payload_error,mss_payload_temp1,mss_payload_temp2,mss_payload_reserved,packet_version_number,packet_type,packet_secondary_header_flag,packet_id,packet_grouping_flag,packet_sequence_count,packet_data_length,time_ms_in_week,time_week_number,word_10_spare,ascii_data
0,03/06/2017 01:24:02.0658,[1553   ] EPC_1553_FORMAT val=1,402,17,0,57,59,0,0,0,1,1026,3,743,49,8779080,0,0,[1553   ] EPC_1553_FORMAT val=1
1,03/06/2017 01:24:02.0658,[1553   ] EPC_1553_FORMAT val=1,402,17,0,57,59,0,0,0,1,1026,3,743,49,8779080,0,0,[1553   ] EPC_1553_FORMAT val=1
2,03/06/2017 01:24:02.0748,[0000216] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,744,49,8779081,0,0,[0000216] cmd:success [0x00000001]
3,03/06/2017 01:24:02.0748,[0000216] cmd:success [0x00000001],402,17,0,57,59,0,0,0,1,1026,3,744,49,8779081,0,0,[0000216] cmd:success [0x00000001]
4,03/06/2017 01:24:35.1891,[1553   ] SEQ_RUN seq=150,402,17,0,57,59,0,0,0,1,1026,3,745,49,8812381,0,0,[1553   ] SEQ_RUN seq=150
5,03/06/2017 01:24:35.1891,[1553   ] SEQ_RUN seq=150,402,17,0,57,59,0,0,0,1,1026,3,745,49,8812381,0,0,[1553   ] SEQ_RUN seq=150
6,03/06/2017 01:24:36.0001,TaskRun   seqTask_150 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,746,49,8812383,0,0,TaskRun   seqTask_150 [uid=1361810275]
7,03/06/2017 01:24:36.0001,TaskRun   seqTask_150 [uid=1361810275],402,17,0,57,59,0,0,0,1,1026,3,746,49,8812383,0,0,TaskRun   seqTask_150 [uid=1361810275]
8,03/06/2017 01:24:36.0092,[0000217] cmd:success [0x00000096],402,17,0,57,59,0,0,0,1,1026,3,747,49,8812383,0,0,[0000217] cmd:success [0x00000096]
9,03/06/2017 01:24:36.0092,[0000217] cmd:success [0x00000096],402,17,0,57,59,0,0,0,1,1026,3,747,49,8812383,0,0,[0000217] cmd:success [0x00000096]
10,03/06/2017 01:24:36.0192,[150:000] IVB_CAMERA_ON ivb=1 cam=1,402,17,0,57,59,0,0,0,1,1026,3,748,49,8812387,0,0,[150:000] IVB_CAMERA_ON ivb=1 cam=1
11,03/06/2017 01:24:36.0192,[150:000] IVB_CAMERA_ON ivb=1 cam=1,402,17,0,57,59,0,0,0,1,1026,3,748,49,8812387,0,0,[150:000] IVB_CAMERA_ON ivb=1 cam=1
12,03/06/2017 01:24:36.0282,[0000218] cmd:success [0x00000028],402,17,0,57,59,0,0,0,1,1026,3,749,49,8812391,0,0,[0000218] cmd:success [0x00000028]
13,03/06/2017 01:24:36.0282,[0000218] cmd:success [0x00000028],402,17,0,57,59,0,0,0,1,1026,3,749,49,8812391,0,0,[0000218] cmd:success [0x00000028]
14,03/06/2017 01:24:36.0372,[150:001] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,750,49,8812392,0,0,[150:001] SEQ_SLEEP dtms=500
15,03/06/2017 01:24:36.0372,[150:001] SEQ_SLEEP dtms=500,402,17,0,57,59,0,0,0,1,1026,3,750,49,8812392,0,0,[150:001] SEQ_SLEEP dtms=500
